Xtones
Scroll on hotbar whilst holding %s to cycle
This server has scroll cycling disabled
Scroll cycling modifier
Xtone Tile
Flat Lamp
Agon
Agon 1
Agon 2
Agon 3
Agon 4
Agon 5
Agon 6
Agon 7
Agon 8
Agon 9
Agon 10
Agon 11
Agon 12
Agon 13
Agon 14
Agon 15
Agon 16
Azur
Azur 1
Azur 2
Azur 3
Azur 4
Azur 5
Azur 6
Azur 7
Azur 8
Azur 9
Azur 10
Azur 11
Azur 12
Azur 13
Azur 14
Azur 15
Azur 16
Bitt
Bitt 1
Bitt 2
Bitt 3
Bitt 4
Bitt 5
Bitt 6
Bitt 7
Bitt 8
Bitt 9
Bitt 10
Bitt 11
Bitt 12
Bitt 13
Bitt 14
Bitt 15
Bitt 16
Cray
Cray 1
Cray 2
Cray 3
Cray 4
Cray 5
Cray 6
Cray 7
Cray 8
Cray 9
Cray 10
Cray 11
Cray 12
Cray 13
Cray 14
Cray 15
Cray 16
Fort
Fort 1
Fort 2
Fort 3
Fort 4
Fort 5
Fort 6
Fort 7
Fort 8
Fort 9
Fort 10
Fort 11
Fort 12
Fort 13
Fort 14
Fort 15
Fort 16
Glaxx
Glaxx 1
Glaxx 2
Glaxx 3
Glaxx 4
Glaxx 5
Glaxx 6
Glaxx 7
Glaxx 8
Glaxx 9
Glaxx 10
Glaxx 11
Glaxx 12
Glaxx 13
Glaxx 14
Glaxx 15
Glaxx 16
Iszm
Iszm 1
Iszm 2
Iszm 3
Iszm 4
Iszm 5
Iszm 6
Iszm 7
Iszm 8
Iszm 9
Iszm 10
Iszm 11
Iszm 12
Iszm 13
Iszm 14
Iszm 15
Iszm 16
Jelt
Jelt 1
Jelt 2
Jelt 3
Jelt 4
Jelt 5
Jelt 6
Jelt 7
Jelt 8
Jelt 9
Jelt 10
Jelt 11
Jelt 12
Jelt 13
Jelt 14
Jelt 15
Jelt 16
Korp
Korp 1
Korp 2
Korp 3
Korp 4
Korp 5
Korp 6
Korp 7
Korp 8
Korp 9
Korp 10
Korp 11
Korp 12
Korp 13
Korp 14
Korp 15
Korp 16
Kryp
Kryp 1
Kryp 2
Kryp 3
Kryp 4
Kryp 5
Kryp 6
Kryp 7
Kryp 8
Kryp 9
Kryp 10
Kryp 11
